Name,Score,Date,Time
aa,103,2023/03/15,08:44:22
Unnamed,94,2023/03/15,01:37:31
Unnamed,82,2023/03/15,08:46:21
Unnamed,74,2023/03/15,08:45:27
Unnamed,73,2023/03/15,22:16:11
Unnamed,68,2023/03/15,08:43:59
Unnamed,61,2023/03/15,08:43:02
Unnamed,54,2023/03/15,08:46:01
Unnamed,51,2023/03/15,08:45:07
Unnamed,49,2023/03/15,08:49:17
